Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Class_encoded,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Satisfaction_binary
13.0,460.0,3.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,25.0,18.0,1.0,1.0,0.0,1.0,0
25.0,235.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,6.0,2.0,1.0,1.0,0.0,0
26.0,1142.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1
25.0,562.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,4.0,2.0,11.0,9.0,2.0,0.0,0.0,0.0,0
61.0,214.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1
26.0,1180.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
47.0,1276.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,2.0,9.0,23.0,0.0,1.0,0.0,1.0,0
52.0,2035.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,1
41.0,853.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0
20.0,1061.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0
24.0,1182.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0
12.0,308.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
53.0,834.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,28.0,8.0,0.0,1.0,0.0,0.0,0
33.0,946.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1
26.0,453.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,43.0,35.0,0.0,0.0,0.0,1.0,0
13.0,486.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0
26.0,2123.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,49.0,51.0,2.0,0.0,0.0,0.0,1
41.0,2075.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,10.0,2.0,1.0,0.0,0.0,1
45.0,2486.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,7.0,5.0,2.0,0.0,0.0,0.0,1
38.0,460.0,2.0,3.0,3.0,2.0,5.0,3.0,5.0,5.0,1.0,2.0,4.0,3.0,2.0,5.0,17.0,18.0,0.0,1.0,0.0,1.0,0
9.0,1174.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,4.0,3.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0
17.0,208.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43.0,752.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,52.0,29.0,0.0,0.0,0.0,1.0,0
58.0,2139.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23.0,452.0,5.0,0.0,5.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,1.0,54.0,44.0,0.0,0.0,1.0,0.0,1
57.0,719.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,5.0,5.0,27.0,28.0,0.0,1.0,0.0,1.0,0
33.0,1561.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1
49.0,315.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,1
36.0,3347.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,18.0,12.0,2.0,0.0,0.0,0.0,0
22.0,2342.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,19.0,0.0,0.0,1.0,0.0,1.0,0
31.0,819.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1
15.0,1043.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,3.0,1.0,4.0,2.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0
35.0,2611.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,109.0,120.0,2.0,0.0,0.0,0.0,1
67.0,1192.0,4.0,5.0,4.0,1.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,18.0,24.0,0.0,0.0,0.0,1.0,0
37.0,1182.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,9.0,0.0,2.0,1.0,1.0,0.0,0
40.0,349.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
34.0,883.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0
40.0,550.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,4.0,3.0,4.0,2.0,23.0,20.0,1.0,1.0,0.0,1.0,0
47.0,302.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,23.0,31.0,0.0,0.0,0.0,1.0,1
41.0,354.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0
39.0,1734.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1
25.0,1452.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,9.0,23.0,2.0,0.0,1.0,0.0,0
41.0,296.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1
38.0,2882.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1
50.0,460.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,1.0,15.0,2.0,0.0,0.0,0.0,1
